,seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
0,status-im,nimbus-eth2,debugpy,microsoft,debugpy,PIP
1,status-im,nimbus-eth2,pyzmq,zeromq,pyzmq,PIP
2,status-im,nimbus-eth2,mkdocs-material,squidfunk,mkdocs-material,PIP
3,status-im,nimbus-eth2,backcall,takluyver,backcall,PIP
4,status-im,nimbus-eth2,pathspec,cpburnz,python-path-specification,PIP
5,apeworx,ape,pydantic,pydantic,pydantic,PIP
6,nethereum,nethereum,@solidity-parser/parser,solidity-parser,parser,NPM
7,status-im,nimbus-eth2,ipykernel,ipython,ipykernel,PIP
8,nethereum,nethereum,path-exists,sindresorhus,path-exists,NPM
9,nethereum,nethereum,@esbuild/android-arm64,evanw,esbuild,NPM
10,nethereum,nethereum,@esbuild/win32-arm64,evanw,esbuild,NPM
11,nethereum,nethereum,@esbuild/linux-mips64el,evanw,esbuild,NPM
12,status-im,nimbus-eth2,mistune,lepture,mistune,PIP
13,status-im,nimbus-eth2,build,pypa,build,PIP
14,status-im,nimbus-eth2,defusedxml,tiran,defusedxml,PIP
15,vyperlang,titanoboa,eth-account,ethereum,eth-account,PIP
16,nethereum,nethereum,path-key,sindresorhus,path-key,NPM
17,nethereum,nethereum,@esbuild/win32-x64,evanw,esbuild,NPM
18,nethereum,nethereum,p-limit,sindresorhus,p-limit,NPM
19,status-im,nimbus-eth2,attrs,python-attrs,attrs,PIP
20,apeworx,ape,numpy,numpy,numpy,PIP
21,status-im,nimbus-eth2,zipp,jaraco,zipp,PIP
22,alloy-rs,alloy,ws_stream_wasm,najamelan,ws_stream_wasm,RUST
23,ethereum,web3.py,eth-hash,ethereum,eth-hash,PIP
24,nethereum,nethereum,yallist,isaacs,yallist,NPM
25,nethereum,nethereum,@latticexyz/protocol-parser,latticexyz,mud,NPM
26,status-im,nimbus-eth2,stack-data,alexmojaki,stack_data,PIP
27,status-im,nimbus-eth2,appnope,minrk,appnope,PIP
28,status-im,nimbus-eth2,argon2-cffi-bindings,hynek,argon2-cffi-bindings,PIP
29,status-im,nimbus-eth2,asttokens,gristlabs,asttokens,PIP
30,status-im,nimbus-eth2,mergedeep,clarketm,mergedeep,PIP
31,status-im,nimbus-eth2,pandocfilters,jgm,pandocfilters,PIP
32,vyperlang,titanoboa,pre-commit,pre-commit,pre-commit,PIP
33,vyperlang,titanoboa,vvm,vyperlang,vvm,PIP
34,nethereum,nethereum,p-retry,sindresorhus,p-retry,NPM
35,apeworx,ape,ipython,ipython,ipython,PIP
36,nethereum,nethereum,zod,colinhacks,zod,NPM
37,nethereum,nethereum,abitype,wevm,abitype,NPM
38,apeworx,ape,sqlalchemy,sqlalchemy,sqlalchemy,PIP
39,vyperlang,titanoboa,mypy,python,mypy,PIP
40,status-im,nimbus-eth2,pygments,pygments,pygments,PIP
41,status-im,nimbus-eth2,cypari,3-manifolds,cypari,PIP
42,apeworx,ape,python-dateutil,dateutil,dateutil,PIP
43,ethereum,web3.py,websockets,aaugustin,websockets,PIP
44,nethereum,nethereum,p-timeout,sindresorhus,p-timeout,NPM
45,apeworx,ape,traitlets,ipython,traitlets,PIP
46,status-im,nimbus-eth2,nbclient,jupyter,nbclient,PIP
47,nethereum,nethereum,find-up,sindresorhus,find-up,NPM
48,status-im,nimbus-eth2,platformdirs,tox-dev,platformdirs,PIP
49,ethereum,web3.py,pyunormalize,mlodewijck,pyunormalize,PIP
50,apeworx,ape,tqdm,tqdm,tqdm,PIP
51,status-im,nimbus-eth2,matplotlib,matplotlib,matplotlib,PIP
52,ethereum,web3.py,aiohttp,aio-libs,aiohttp,PIP
53,ethereum,py-evm,pytest,pytest-dev,pytest,PIP
54,nethereum,nethereum,solidity-comments-extractor,prettier-solidity,solidity-comments-extractor,NPM
55,nethereum,nethereum,locate-path,sindresorhus,locate-path,NPM
56,nethereum,nethereum,retry,tim-kos,node-retry,NPM
57,apeworx,ape,eth-typing,ethereum,eth-typing,PIP
58,status-im,nimbus-eth2,ghp-import,c-w,ghp-import,PIP
59,nethereum,nethereum,prettier,prettier,prettier,NPM
60,nethereum,nethereum,viem,wevm,viem,NPM
61,status-im,nimbus-eth2,pypng,drj11,pypng,PIP
62,vyperlang,titanoboa,isort,pycqa,isort,PIP
63,status-im,nimbus-eth2,nbconvert,jupyter,nbconvert,PIP
64,status-im,nimbus-eth2,six,benjaminp,six,PIP
65,ethereum,web3.py,eth-utils,ethereum,eth-utils,PIP
66,ethereum,web3.py,eth-abi,ethereum,eth-abi,PIP
67,ethereum,web3.py,types-requests,python,typeshed,PIP
68,alloy-rs,alloy,http,hyperium,http,RUST
69,nethereum,nethereum,onetime,sindresorhus,onetime,NPM
70,vyperlang,titanoboa,jupyter-server,jupyter-server,jupyter_server,PIP
71,apeworx,ape,eth-pydantic-types,apeworx,eth-pydantic-types,PIP
72,status-im,nimbus-eth2,python-snappy,intake,python-snappy,PIP
73,nethereum,nethereum,@latticexyz/world,latticexyz,mud,NPM
74,vyperlang,titanoboa,requests-cache,requests-cache,requests-cache,PIP
75,apeworx,ape,evmchains,apeworx,evmchains,PIP
76,nethereum,nethereum,universalify,ryanzim,universalify,NPM
77,nethereum,nethereum,signal-exit,tapjs,signal-exit,NPM
78,ethereum,py-evm,pytest-cov,pytest-dev,pytest-cov,PIP
79,status-im,nimbus-eth2,pip-tools,jazzband,pip-tools,PIP
80,vyperlang,titanoboa,sphinx-rtd-theme,readthedocs,sphinx_rtd_theme,PIP
81,ethereum,web3.py,typing-extensions,python,typing_extensions,PIP
82,nethereum,nethereum,@latticexyz/common,latticexyz,mud,NPM
83,vyperlang,titanoboa,sphinx,sphinx-doc,sphinx,PIP
84,vyperlang,titanoboa,nest-asyncio,erdewit,nest_asyncio,PIP
85,nethereum,nethereum,@esbuild/linux-ppc64,evanw,esbuild,NPM
86,status-im,nimbus-eth2,jedi,davidhalter,jedi,PIP
87,vyperlang,vyper,shibuya,lepture,shibuya,PIP
88,alloy-rs,alloy,trezor-client,trezor,trezor-firmware,RUST
89,ethereum-lists,chains,fast-deep-equal,epoberezkin,fast-deep-equal,NPM
90,nethereum,nethereum,@esbuild/darwin-x64,evanw,esbuild,NPM
91,status-im,nimbus-eth2,jsonschema,python-jsonschema,jsonschema,PIP
92,nethereum,nethereum,@esbuild/linux-s390x,evanw,esbuild,NPM
93,nethereum,nethereum,@esbuild/netbsd-x64,evanw,esbuild,NPM
94,apeworx,ape,pluggy,pytest-dev,pluggy,PIP
95,nethereum,nethereum,zod-validation-error,causaly,zod-validation-error,NPM
96,nethereum,nethereum,mimic-fn,sindresorhus,mimic-fn,NPM
97,status-im,nimbus-eth2,scipy,scipy,scipy,PIP
98,nethereum,nethereum,debug,debug-js,debug,NPM
99,status-im,nimbus-eth2,knot-floer-homology,3-manifolds,knot_floer_homology,PIP
100,ethereum,web3.py,hexbytes,ethereum,hexbytes,PIP
101,status-im,nimbus-eth2,click,pallets,click,PIP
102,alloy-rs,alloy,jsonrpsee-types,paritytech,jsonrpsee,RUST
103,apeworx,ape,prettier,prettier,prettier,NPM
104,alloy-rs,alloy,aws-config,smithy-lang,smithy-rs,RUST
105,apeworx,ape,pandas,pandas-dev,pandas,PIP
